Marca temporal,Tienes telefono,Redes sociales,Uso,Frecuencia de uso,Sueles colgar fotos tuyas,Tus amigos suben de ti?,Te piden permiso,"Twitter, sigues a los que te siguen?",Hay peligro en las redes sociales,Sexo,Edad
18/12/2014 18:22:42,"Si, movil","Twitter, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos",Algunos dias,solo algunas,Algunas,Algunos si,solo amigos,si,M,12
18/12/2014 18:23:47,"Si, movil","Facebook, Twitter, Tuenti, Instagram","Contacto con amigos, Seguir a famosos",Una vez a la semana,no subo nada,Nunca,Nunca,"solo amigos, rara vez",si,M,12
18/12/2014 18:24:20,Si smart,"Facebook, Twitter, Tuenti, Instagram","Contacto con amigos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Muchas,Algunos si,"solo amigos, rara vez",si,M,12
18/12/2014 18:24:55,Si smart,Instagram,"Contacto con amigos, Amigos antiguos",Una vez a la semana,no subo nada,Nunca,Siempre,,si,M,12
18/12/2014 18:25:37,Si smart,Instagram,"Contacto con amigos, Amigos antiguos, Subir fotos",Una vez a la semana,si sale mas gente pido permiso,Algunas,Algunos si,"Si, siempre",no lo se,M,12
18/12/2014 18:26:20,Si smart,"Facebook, Twitter, Tuenti, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",Subo la mayoria,Muchas,Algunos si,rara vez,no lo se,M,12
18/12/2014 18:26:56,Si smart,"Facebook, Twitter, Tuenti, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos","Todos los dias, mas de una hora",solo algunas,Algunas,Nunca,Solo a amigos y amigos de amigos,si,M,13
18/12/2014 18:27:48,"Si, movil","Facebook, Twitter, Instagram, skype","Contacto con amigos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora","solo algunas, si sale mas gente pido permiso",Muchas,Algunos si,Solo a amigos y amigos de amigos,si,M,12
18/12/2014 18:28:32,"Si, movil",Whatsapp,"Contacto con amigos, Amigos antiguos",Algunos dias,"solo algunas, si sale mas gente pido permiso",Algunas,Algunos si,rara vez,si,M,12
18/12/2014 18:29:04,Si smart,"Whatsapp, Line","Contacto con amigos, Amigos antiguos","Todos los dias, menos de una hora, Algunos dias",si sale mas gente pido permiso,Algunas,Algunos si,,si,M,12
18/12/2014 18:29:38,"Si, movil","Twitter, Instagram","Contacto con amigos, Amigos antiguos, Seguir a famosos",Algunos dias,si sale mas gente pido permiso,Algunas,Nunca,solo amigos,si,M,12
18/12/2014 18:30:22,"Si, movil","Twitter, Instagram","Contacto con amigos, Amigos antiguos, Seguir a famosos",Algunos dias,si sale mas gente pido permiso,Algunas,Nunca,solo amigos,si,M,12
18/12/2014 18:31:35,"Si, movil",Instagram,"Contacto con amigos, Amigos antiguos, Seguir a famosos",Algunos dias,si sale mas gente pido permiso,Algunas,Nunca,,si,M,12
18/12/2014 18:32:12,Si smart,"Twitter, Tuenti, Instagram, Whatsapp, Line","Amigos antiguos, Seguir a famosos","Todos los dias, mas de una hora",solo algunas,Algunas,Nunca,solo amigos,si,M,12
